psraid,sample,lang,fips,state,cregion,density,usr,pial1,eminuse,intmob,pialql1,ql1a,qc1,smart1,pial2,pial3,pial4,pial5a,pial5b,pial5c,pial5d,pial5e,pial5f,pial6,pial7,pial8a,pial8b,pial8c,pial8d,pial9,pial10,pial11,pial12,SmartPhone,ql1,hh1,employ,par,sex,age,educ2,hisp,race,inc,income,reg,party,partyln,raceos,iphoneuse,hphoneuse,weight,standwt
102481,1,2,25013,25,1,3,U,1,1,1,1, , ,2,2, , ,3,3,3,3,3,6, ,1990,1,2,2,1,1,1,1,1,2,1,2,3,2,2,42,8,1,1,1,1,1,2, , ,2,2,3.3125,1.08109401409936
102488,1,1,17083,17,2,1,S,1,1,1,1, , ,1,1,1,2,3,3,1,1,3,3,1,8888,1,2,1,1,1,1,1,1,1,1,2,3,2,1,66,5,2,1,7,4,1,1, , ,2,2,1.6875,.550746007182692
102493,1,1,12105,12,3,2,U,2,1,1,1, , ,1,1,1,1,2,4,1,1,2,2,2,1996,1,1,1,1,1,1,1,1,1,1,1,3,2,1,23,6,1,4,2,1,3,1, , ,2,2,1,.32636800425641
102497,1,1,48209,48,3,2,S,1,1,1,1, , ,1,1,1,1,2,1,1,1,1,4,1,1998,2,2,2,1,1,1,1,1,1,1,1,1,2,2,57,6,2,1,8,4,1,2, , ,2,2,1,.32636800425641
102499,1,1,54033,54,3,2,R,1,1,2,1, , ,2,2, , ,1,1,1,4,6,6, ,2010,2,2,2,2,5,8,2,1,2,1,1,1,2,2,60,3,2,1,4,2,3,1, , ,2,2,1.40625,.458955005985576
102505,1,1,16001,16,4,3,S,1,1,1,1, , ,1,1,1,2,1,1,1,1,1,3,1,8888,1,2,2,1,1,1,1,1,1,1,2,3,2,1,67,3,2,1,99,9,1,1, , ,2,2,2.3125,.754726009842948
102533,1,1,42079,42,1,3,S,1,2,2,1, , ,1, , , ,1,4,1, , , , , , , , , , , , , ,1,1,2,1,1,1,33,3,2,1,7,4,3,3,2, ,2,2,3.4375,1.12189001463141
102546,1,1,6019,6,4,2,S,1,1,1,1, , ,1,1,1,2,2,4,2,2,2,4,1,1992,1,2,1,1,1,1,1,1,1,1,2,1,1,1,40,8,2,1,6,3,1,3,9, ,2,2,1.84375,.601741007847755
102574,1,1,18099,18,2,1,R,1,1,2,1, , ,2,1,1,4,1,1,1,2,1,4,2,2004,2,2,1,1,1,1,1,1,2,1,2,2,2,2,61,6,2,1,6,3,1,1, , ,2,2,1.4375,.469154006118589
102575,1,1,27053,27,2,5,S,1,1,1,1, , ,1,1,1,1,1,2,1,1,1,3,1,1995,1,2,2,2,1,1,1,1,1,1,2,1,2,1,58,4,2,1,6,3,1,1, , ,2,2,2.8125,.917910011971153
102594,1,1,9003,9,1,4,S,1,1,2,2,2, , ,1,1,1,4,4, ,4,4,4, ,9999,2,1,1,2,2,9,2,2,3,2,6,1,1,1,99,8,2,9,99,9,9,4,9, ,1,1,5.8125,1.89701402474038
102595,1,1,6007,6,4,2,U,1,1,1,2,2, , ,1,1,4,2,2, ,4,3,4, ,2000,2,2,2,2,1,1,2,2,3,2,1,3,2,2,62,4,2,1,1,1,3,4,9, ,1,1,2.625,.856716011173076
102602,1,1,53061,53,4,2,U,1,1,1,1, , ,1,1,1,4,1,2,1,1,1,3,1,2000,1,2,2,8,5,1,1,1,1,1,1,3,2,2,75,4,2,1,2,1,1,4,2, ,2,2,1,.32636800425641
102610,1,1,55079,55,2,5,S,2,1,1,1, , ,2,2, , ,4,2,4,4,4,4, ,2000,2,2,2,2,4,8,2,2,2,1,2,1,2,1,59,3,2,1,5,2,1,4,9, ,2,2,3.15625,1.03009901343429
102615,1,2,37081,37,3,3,S,2,2,2,2,1, , , , , ,1,1, , , , , , , , , , , , , , ,3,2,2,3,2,2,62,2,1,1,99,9,3,9,9, ,1,2,3.875,1.26467601649359
102617,1,1,53015,53,4,1,S,1,1,1,1, , ,1,1,2,2,3,4,2,1,1,4,1,2002,1,2,2,1,1,1,1,1,1,1,2,3,2,1,62,6,2,1,5,2,1,3,2, ,2,2,1.1875,.387562005054487
102632,1,1,8005,8,4,3,U,2,2,2,2,2, , , , , ,2,2, , , , , , , , , , , , , , ,3,2,1,3,2,1,68,5,2,2,4,2,1,3,2, ,1,1,3.375,1.10149201436538
102639,1,1,23001,23,1,2,S,1,1,2,1, , ,2,1,1,2,1,2,4,2,2,4,2,2004,1,2,2,1,1,1,1,1,2,1,1,2,2,1,73,3,2,1,2,1,1,3,1, ,2,2,1.40625,.458955005985576
102642,1,1,42115,42,1,1,R,1,1,1,1, , ,1,1,2,2,3,2,3,2,2,4,1,1998,2,2,2,2,1,1,1,1,1,1,3,1,1,2,41,3,2,1,7,4,1,1, , ,2,2,5.71875,1.86641702434134
102651,1,1,39035,39,2,5,S,1,1,2,1, , ,2,1,1,2,2,2,4,4,4,4, ,2011,1,2,2,1,1,1,2,1,2,1,3,1,2,2,56,6,2,1,4,2,1,2, , ,2,2,2.625,.856716011173076
102658,1,1,25025,25,1,5,U,1,1,1,1, , ,1,1,1,1,3,3,4,3,3,4, ,2006,1,2,2,2,1,1,1,1,1,1,3,3,2,1,18,3,2,2,2,1,1,2, , ,2,2,4.46875,1.45845701902083
102666,1,1,4013,4,4,3,U,1,1,1,1, , ,1,1,1,2,1,3,1,1,1,4,1,1989,1,2,2,1,1,1,1,1,1,1,2,1,2,1,58,3,2,1,8,4,1,1, , ,2,2,2.6875,.877114011439101
102667,1,1,4013,4,4,3,S,1,1,2,1, , ,2,2, , ,2,1,2,2,2,6,1,8888,1,2,2,1,5,1,1,1,2,1,2,3,1,2,50,6,2,3,7,4,1,2, , ,2,2,3.59375,1.17288501529647
102668,1,1,35039,35,4,1,R,1,1,1,1, , ,1,2, , ,1,3,3,1,1,3,1,2000,1,2,2,1,1,1,1,1,1,1,3,1,2,2,48,3,2,1,6,3,1,2, , ,2,2,3.40625,1.1116910144984
102671,1,1,4013,4,4,3,U,1,1,2,1, , ,2,1,1,2,1,1,4,2,4,4,2,1998,2,2,1,1,2,1,2,3,2,1,3,3,2,1,73,8,2,1,7,4,1,1, , ,2,2,1.59375,.520149006783653
102672,1,1,42011,42,1,3,S,1,1,1,1, , ,2,2, , ,1,1,2,1,2,4,2,2007,1,2,2,1,1,1,1,1,2,1,3,3,1,2,66,5,2,1,4,2,1,2, , ,2,2,2.5,.815920010641025
102681,1,2,24033,24,3,4,S,2,1,2,1, , ,1,1,1,2,3,1,1,3,3,3, ,2013,2,2,2,1,1,1,1,1,1,1,4,1,1,1,39,3,1,6,4,2,3,3,9,LATINO,2,2,4,1.30547201702564
102702,1,1,42037,42,1,2,S,1,1,1,1, , ,2,1,1,1,1,2,2,1,1,3,3,1990,1,2,2,1,1,1,1,1,2,1,1,2,2,2,75,8,2,1,6,3,1,3,2, ,2,2,1,.32636800425641
102708,1,1,12127,12,3,3,S,1,2,2,1, , ,2, , , ,2,1,9, , , , , , , , , , , , , ,2,1,1,3,2,2,94,3,2,1,99,9,1,2, , ,2,2,1.28125,.418159005453525
102710,1,1,5051,5,3,2,U,2,2,2,1, , ,2, , , ,1,2,2, , , , , , , , , , , , , ,2,1,1,2,2,2,80,4,2,1,2,1,1,2, , ,2,2,1,.32636800425641
102714,1,1,4009,4,4,1,R,1,1,2,1, , ,2,1,1,2,2,1,3,2,2,6,1,2000,2,2,2,1,2,1,1,1,2,1,2,2,2,1,70,4,2,1,7,4,1,3,1, ,2,2,1.6875,.550746007182692
102729,1,1,18097,18,2,5,U,8,8,2,1, , ,2, , , ,1,4,1, , , , , , , , , , , , , ,2,1,9,2,9,2,71,6,2,1,9,4,1,3,9, ,2,2,1.6875,.550746007182692
102730,1,1,24510,24,3,5,U,2,2,2,1, , ,2, , , ,3,3,3, , , , , , , , , , , , , ,2,1,1,3,2,2,66,3,2,2,3,1,1,2, , ,2,2,1.84375,.601741007847755
102732,1,1,51550,51,3,3,S,2,2,1,1, , ,2,2, , ,1,1,2,4,4,4, ,8888,2,2,2,2,8,8,8,8,2,1,1,3,2,2,72,6,2,1,6,3,1,2, , ,2,2,1,.32636800425641
102733,1,1,1081,1,3,2,U,1,1,2,1, , ,2,1,1,4,4,4,2,2,4,4,1,2010,1,2,1,1,2,3,2,1,2,1,4,2,2,2,19,4,2,1,99,9,3,1, , ,2,2,3.84375,1.25447701636058
102747,1,1,24005,24,3,4,S,1,1,1,1, , ,1,1,1,1,3,4,2,1,4,2,2,2003,1,8,2,1,2,1,1,1,1,1,3,2,2,1,21,3,2,3,99,3,3,3,1, ,2,2,4.3125,1.40746201835577
102749,1,1,36105,36,1,1,R,2,2,2,2,2, , , , , ,3,8, , , , , , , , , , , , , , ,3,2,2,3,2,1,70,1,2,1,2,1,3,4,9, ,1,1,5.71875,1.86641702434134
102787,1,1,39109,39,2,2,S,1,1,1,1, , ,1,1,1,1,1,4,1,1,1,4,1,1997,1,1,2,2,1,1,1,1,1,1,3,1,2,2,48,6,2,1,9,4,1,3,9, ,2,2,2.40625,.785323010241986
102790,1,1,45085,45,3,2,S,1,1,2,2,1, , ,2, , ,1,2, ,2,4,4,2,2010,1,2,2,1,1,1,3,1,3,2,2,3,2,2,61,4,2,1,1,1,2,3,9, ,1,2,3,.979104012769229
102811,1,1,45045,45,3,3,S,1,1,1,1, , ,1,1,1,3,2,2,2,2,4,2,2,2004,1,1,2,1,2,1,2,1,1,1,3,3,2,2,24,6,2,1,99,2,1,3,2, ,2,2,2.59375,.846517011040063
102812,1,1,42003,42,1,4,S,1,1,1,1, , ,2,1,1,2,1,1,2,2,2,2,1,2007,2,2,2,1,1,1,1,1,2,1,2,3,2,1,61,8,2,1,6,3,1,2, , ,2,2,1.65625,.540547007049679
102818,1,1,42133,42,1,3,S,1,1,1,1, , ,1,1,1,2,3,3,3,1,2,3,2,1996,1,1,2,1,1,1,1,1,1,1,2,1,1,1,58,6,2,9,8,4,1,3,9, ,2,2,1.625,.530348006916666
102839,1,1,25009,25,1,4,S,2,2,2,1, , ,2, , , ,2,1,1, , , , , , , , , , , , , ,2,1,1,3,2,1,83,3,2,1,4,2,1,3,1, ,2,2,1.625,.530348006916666
102841,1,1,12101,12,3,3,S,1,1,1,1, , ,1,1,1,2,1,4,1,1,1,6,1,1987,2,2,2,2,2,1,1,1,1,1,2,1,1,2,44,4,2,1,99,4,1,1, , ,2,2,4.71875,1.54004902008493
102846,1,1,51177,51,3,2,S,1,1,1,1, , ,2,1,1,2,1,3,2,1,1,3,1,1988,1,2,2,1,1,1,1,1,2,1,2,1,1,1,56,8,2,1,9,4,1,3,1, ,2,2,1.1875,.387562005054487
102848,1,1,51167,51,3,1,R,2,2,2,1, , ,2, , , ,4,2,3, , , , , , , , , , , , , ,2,1,2,3,2,1,36,3,2,1,99,9,3,3,9, ,2,2,2.84375,.928109012104165
102855,1,1,42095,42,1,3,U,1,1,1,1, , ,1,1,1,2,1,1,2,1,3,1,2,2004,1,2,2,1,1,1,3,3,1,1,2,3,1,2,36,3,1,6,2,1,3,2, ,HISPANIC,2,2,5.03125,1.64203902141506
102872,1,1,13067,13,3,4,S,1,1,1,1, , ,1,1,1,2,2,3,1,1,1,2,1,1995,2,2,2,1,1,1,1,1,1,1,1,1,2,1,30,8,2,1,7,4,1,3,1, ,2,2,1.3125,.428358005586538
102876,1,1,37171,37,3,2,R,1,1,1,1, , ,1,1,1,2,4,3,2,2,2,4,1,1998,1,2,2,1,1,1,2,1,1,1,3,2,2,2,20,4,2,1,6,3,1,1, , ,2,2,3.84375,1.25447701636058
102885,1,1,1121,1,3,2,R,2,2,2,1, , ,2, , , ,1,1,3, , , , , , , , , , , , , ,2,1,1,3,2,2,73,3,2,1,1,1,1,1, , ,2,2,1.125,.367164004788461
102893,1,1,1047,1,3,1,R,1,1,2,1, , ,1,1,2,1,4,4,4,4,4,4, ,2003,1,2,1,1,2,2,2,2,1,1,6,1,1,2,58,5,2,2,3,1,1,2, , ,2,2,2.5,.815920010641025
102894,1,1,48157,48,3,3,U,1,1,1,1, , ,2,1,1,4,1,1,4,1,2,2,1,1999,2,2,2,2,1,1,1,1,2,1,4,3,2,1,67,4,2,1,99,9,1,1, , ,2,2,2.4375,.795522010374999
102896,1,1,10003,10,3,4,S,1,1,1,1, , ,1,2, , ,4,4,1,4,4,4, ,1998,2,2,2,2,2,1,3,3,1,1,3,1,1,2,48,8,2,1,4,2,1,1, , ,2,2,2.59375,.846517011040063
